Family ,Subfamily,Genus ,Species,Habitat,Adult_Diet,Larval_Diet ,Assignment_Level,Number_of_References,Reference_title_1,Reference_DOI_1,Reference_title_2,Reference_DOI_2,Reference_title_3,Reference_DOI_3,Reference_title_4,Reference_DOI_4,Reference_title_5,Reference_DOI_5,Reference_title_6,Reference_DOI_6,Reference_title_7,Reference_DOI_7,Reference_title_8,Reference_DOI_8,Reference_title_9,Reference_DOI_9,Reference_title_10,Reference_DOI_10,Reference_title_11,Reference_DOI_11,Reference_title_12,Reference_DOI_12
Anthomyiidae,,Pegomya,Pegomya icterica,Terrestrial,Nectivore,Phytophagous,Family,7,Assessing the relationship between pest density and plant damage: a case study with the belowground herbivore Delia radicum (Diptera: Anthomyiidae) on broccoli,10.1007/s13355-019-00607-3,"Population variability of three Delia species (Diptera: Anthomyiidae) from the same agricultural habitat in Quebec, Canada",10.4039/tce.2017.52,A HRM assay for rapid identification of members of the seedcorn maggot complex (Delia florilega and D. platura) (Diptera: Anthomyiidae) and evidence of variation in temporal patterns of larval occurrence,10.1093/jee/toaa230,"Oviposition, feeding preferences and distribution of Delia species (Diptera: Anthomyiidae) in Eastern Canadian onions",10.3390/insects11110780,Management of Delia (Diptera: Anthomyiidae) through selectively timed planting of Phaseolus vulgaris (Fabaceae) in Atlantic Canada,10.4039/tce.2018.36,Spring emergence and seasonal flight of Delia radicum L. (Diptera: Anthomyiidae) in western Oregon,10.1603/0046-225X-35.2.465,"Seasonal flight, optimal timing and efficacy of selected insecticides for cabbage maggot (Delia radicum L., Diptera: Anthomyiidae) control",10.3390/insects3041001,,,,,,,,,,
Anthomyiidae,,Pegomya,Pegomya notabilis,Terrestrial,Nectivore,Phytophagous,Family,7,Assessing the relationship between pest density and plant damage: a case study with the belowground herbivore Delia radicum (Diptera: Anthomyiidae) on broccoli,10.1007/s13355-019-00607-3,"Population variability of three Delia species (Diptera: Anthomyiidae) from the same agricultural habitat in Quebec, Canada",10.4039/tce.2017.52,A HRM assay for rapid identification of members of the seedcorn maggot complex (Delia florilega and D. platura) (Diptera: Anthomyiidae) and evidence of variation in temporal patterns of larval occurrence,10.1093/jee/toaa230,"Oviposition, feeding preferences and distribution of Delia species (Diptera: Anthomyiidae) in Eastern Canadian onions",10.3390/insects11110780,Management of Delia (Diptera: Anthomyiidae) through selectively timed planting of Phaseolus vulgaris (Fabaceae) in Atlantic Canada,10.4039/tce.2018.36,Spring emergence and seasonal flight of Delia radicum L. (Diptera: Anthomyiidae) in western Oregon,10.1603/0046-225X-35.2.465,"Seasonal flight, optimal timing and efficacy of selected insecticides for cabbage maggot (Delia radicum L., Diptera: Anthomyiidae) control",10.3390/insects3041001,,,,,,,,,,
Anthomyiidae,,Pegomya,Pegomya winthemi,Terrestrial,Nectivore,Phytophagous,Family,7,Assessing the relationship between pest density and plant damage: a case study with the belowground herbivore Delia radicum (Diptera: Anthomyiidae) on broccoli,10.1007/s13355-019-00607-3,"Population variability of three Delia species (Diptera: Anthomyiidae) from the same agricultural habitat in Quebec, Canada",10.4039/tce.2017.52,A HRM assay for rapid identification of members of the seedcorn maggot complex (Delia florilega and D. platura) (Diptera: Anthomyiidae) and evidence of variation in temporal patterns of larval occurrence,10.1093/jee/toaa230,"Oviposition, feeding preferences and distribution of Delia species (Diptera: Anthomyiidae) in Eastern Canadian onions",10.3390/insects11110780,Management of Delia (Diptera: Anthomyiidae) through selectively timed planting of Phaseolus vulgaris (Fabaceae) in Atlantic Canada,10.4039/tce.2018.36,Spring emergence and seasonal flight of Delia radicum L. (Diptera: Anthomyiidae) in western Oregon,10.1603/0046-225X-35.2.465,"Seasonal flight, optimal timing and efficacy of selected insecticides for cabbage maggot (Delia radicum L., Diptera: Anthomyiidae) control",10.3390/insects3041001,,,,,,,,,,
Anthomyiidae,,Pegomya,Pegomya zonata,Terrestrial,Nectivore,Phytophagous,Family,7,Assessing the relationship between pest density and plant damage: a case study with the belowground herbivore Delia radicum (Diptera: Anthomyiidae) on broccoli,10.1007/s13355-019-00607-3,"Population variability of three Delia species (Diptera: Anthomyiidae) from the same agricultural habitat in Quebec, Canada",10.4039/tce.2017.52,A HRM assay for rapid identification of members of the seedcorn maggot complex (Delia florilega and D. platura) (Diptera: Anthomyiidae) and evidence of variation in temporal patterns of larval occurrence,10.1093/jee/toaa230,"Oviposition, feeding preferences and distribution of Delia species (Diptera: Anthomyiidae) in Eastern Canadian onions",10.3390/insects11110780,Management of Delia (Diptera: Anthomyiidae) through selectively timed planting of Phaseolus vulgaris (Fabaceae) in Atlantic Canada,10.4039/tce.2018.36,Spring emergence and seasonal flight of Delia radicum L. (Diptera: Anthomyiidae) in western Oregon,10.1603/0046-225X-35.2.465,"Seasonal flight, optimal timing and efficacy of selected insecticides for cabbage maggot (Delia radicum L., Diptera: Anthomyiidae) control",10.3390/insects3041001,,,,,,,,,,
Anthomyiidae,,Pegoplata,,Terrestrial,Nectivore,Phytophagous,Family,7,Assessing the relationship between pest density and plant damage: a case study with the belowground herbivore Delia radicum (Diptera: Anthomyiidae) on broccoli,10.1007/s13355-019-00607-3,"Population variability of three Delia species (Diptera: Anthomyiidae) from the same agricultural habitat in Quebec, Canada",10.4039/tce.2017.52,A HRM assay for rapid identification of members of the seedcorn maggot complex (Delia florilega and D. platura) (Diptera: Anthomyiidae) and evidence of variation in temporal patterns of larval occurrence,10.1093/jee/toaa230,"Oviposition, feeding preferences and distribution of Delia species (Diptera: Anthomyiidae) in Eastern Canadian onions",10.3390/insects11110780,Management of Delia (Diptera: Anthomyiidae) through selectively timed planting of Phaseolus vulgaris (Fabaceae) in Atlantic Canada,10.4039/tce.2018.36,Spring emergence and seasonal flight of Delia radicum L. (Diptera: Anthomyiidae) in western Oregon,10.1603/0046-225X-35.2.465,"Seasonal flight, optimal timing and efficacy of selected insecticides for cabbage maggot (Delia radicum L., Diptera: Anthomyiidae) control",10.3390/insects3041001,,,,,,,,,,
Anthomyiidae,,Pegoplata,Pegomya tundrica,Terrestrial,Nectivore,Phytophagous,Family,7,Assessing the relationship between pest density and plant damage: a case study with the belowground herbivore Delia radicum (Diptera: Anthomyiidae) on broccoli,10.1007/s13355-019-00607-3,"Population variability of three Delia species (Diptera: Anthomyiidae) from the same agricultural habitat in Quebec, Canada",10.4039/tce.2017.52,A HRM assay for rapid identification of members of the seedcorn maggot complex (Delia florilega and D. platura) (Diptera: Anthomyiidae) and evidence of variation in temporal patterns of larval occurrence,10.1093/jee/toaa230,"Oviposition, feeding preferences and distribution of Delia species (Diptera: Anthomyiidae) in Eastern Canadian onions",10.3390/insects11110780,Management of Delia (Diptera: Anthomyiidae) through selectively timed planting of Phaseolus vulgaris (Fabaceae) in Atlantic Canada,10.4039/tce.2018.36,Spring emergence and seasonal flight of Delia radicum L. (Diptera: Anthomyiidae) in western Oregon,10.1603/0046-225X-35.2.465,"Seasonal flight, optimal timing and efficacy of selected insecticides for cabbage maggot (Delia radicum L., Diptera: Anthomyiidae) control",10.3390/insects3041001,,,,,,,,,,
Anthomyiidae,,Pegoplata,Pegomya nigroscutellata,Terrestrial,Nectivore,Phytophagous,Family,7,Assessing the relationship between pest density and plant damage: a case study with the belowground herbivore Delia radicum (Diptera: Anthomyiidae) on broccoli,10.1007/s13355-019-00607-3,"Population variability of three Delia species (Diptera: Anthomyiidae) from the same agricultural habitat in Quebec, Canada",10.4039/tce.2017.52,A HRM assay for rapid identification of members of the seedcorn maggot complex (Delia florilega and D. platura) (Diptera: Anthomyiidae) and evidence of variation in temporal patterns of larval occurrence,10.1093/jee/toaa230,"Oviposition, feeding preferences and distribution of Delia species (Diptera: Anthomyiidae) in Eastern Canadian onions",10.3390/insects11110780,Management of Delia (Diptera: Anthomyiidae) through selectively timed planting of Phaseolus vulgaris (Fabaceae) in Atlantic Canada,10.4039/tce.2018.36,Spring emergence and seasonal flight of Delia radicum L. (Diptera: Anthomyiidae) in western Oregon,10.1603/0046-225X-35.2.465,"Seasonal flight, optimal timing and efficacy of selected insecticides for cabbage maggot (Delia radicum L., Diptera: Anthomyiidae) control",10.3390/insects3041001,,,,,,,,,,
Anthomyiidae,,Pegoplata,Pegomya picipes,Terrestrial,Nectivore,Phytophagous,Family,7,Assessing the relationship between pest density and plant damage: a case study with the belowground herbivore Delia radicum (Diptera: Anthomyiidae) on broccoli,10.1007/s13355-019-00607-3,"Population variability of three Delia species (Diptera: Anthomyiidae) from the same agricultural habitat in Quebec, Canada",10.4039/tce.2017.52,A HRM assay for rapid identification of members of the seedcorn maggot complex (Delia florilega and D. platura) (Diptera: Anthomyiidae) and evidence of variation in temporal patterns of larval occurrence,10.1093/jee/toaa230,"Oviposition, feeding preferences and distribution of Delia species (Diptera: Anthomyiidae) in Eastern Canadian onions",10.3390/insects11110780,Management of Delia (Diptera: Anthomyiidae) through selectively timed planting of Phaseolus vulgaris (Fabaceae) in Atlantic Canada,10.4039/tce.2018.36,Spring emergence and seasonal flight of Delia radicum L. (Diptera: Anthomyiidae) in western Oregon,10.1603/0046-225X-35.2.465,"Seasonal flight, optimal timing and efficacy of selected insecticides for cabbage maggot (Delia radicum L., Diptera: Anthomyiidae) control",10.3390/insects3041001,,,,,,,,,,
Anthomyiidae,,Zaphne,,Terrestrial,Nectivore,Phytophagous,Family,7,Assessing the relationship between pest density and plant damage: a case study with the belowground herbivore Delia radicum (Diptera: Anthomyiidae) on broccoli,10.1007/s13355-019-00607-3,"Population variability of three Delia species (Diptera: Anthomyiidae) from the same agricultural habitat in Quebec, Canada",10.4039/tce.2017.52,A HRM assay for rapid identification of members of the seedcorn maggot complex (Delia florilega and D. platura) (Diptera: Anthomyiidae) and evidence of variation in temporal patterns of larval occurrence,10.1093/jee/toaa230,"Oviposition, feeding preferences and distribution of Delia species (Diptera: Anthomyiidae) in Eastern Canadian onions",10.3390/insects11110780,Management of Delia (Diptera: Anthomyiidae) through selectively timed planting of Phaseolus vulgaris (Fabaceae) in Atlantic Canada,10.4039/tce.2018.36,Spring emergence and seasonal flight of Delia radicum L. (Diptera: Anthomyiidae) in western Oregon,10.1603/0046-225X-35.2.465,"Seasonal flight, optimal timing and efficacy of selected insecticides for cabbage maggot (Delia radicum L., Diptera: Anthomyiidae) control",10.3390/insects3041001,,,,,,,,,,
Anthomyiidae,,Zaphne,Zaphne barbiventris,Terrestrial,Nectivore,Phytophagous,Family,7,Assessing the relationship between pest density and plant damage: a case study with the belowground herbivore Delia radicum (Diptera: Anthomyiidae) on broccoli,10.1007/s13355-019-00607-3,"Population variability of three Delia species (Diptera: Anthomyiidae) from the same agricultural habitat in Quebec, Canada",10.4039/tce.2017.52,A HRM assay for rapid identification of members of the seedcorn maggot complex (Delia florilega and D. platura) (Diptera: Anthomyiidae) and evidence of variation in temporal patterns of larval occurrence,10.1093/jee/toaa230,"Oviposition, feeding preferences and distribution of Delia species (Diptera: Anthomyiidae) in Eastern Canadian onions",10.3390/insects11110780,Management of Delia (Diptera: Anthomyiidae) through selectively timed planting of Phaseolus vulgaris (Fabaceae) in Atlantic Canada,10.4039/tce.2018.36,Spring emergence and seasonal flight of Delia radicum L. (Diptera: Anthomyiidae) in western Oregon,10.1603/0046-225X-35.2.465,"Seasonal flight, optimal timing and efficacy of selected insecticides for cabbage maggot (Delia radicum L., Diptera: Anthomyiidae) control",10.3390/insects3041001,,,,,,,,,,
Anthomyiidae,,Zaphne,Zaphne borealis,Terrestrial,Nectivore,Phytophagous,Family,7,Assessing the relationship between pest density and plant damage: a case study with the belowground herbivore Delia radicum (Diptera: Anthomyiidae) on broccoli,10.1007/s13355-019-00607-3,"Population variability of three Delia species (Diptera: Anthomyiidae) from the same agricultural habitat in Quebec, Canada",10.4039/tce.2017.52,A HRM assay for rapid identification of members of the seedcorn maggot complex (Delia florilega and D. platura) (Diptera: Anthomyiidae) and evidence of variation in temporal patterns of larval occurrence,10.1093/jee/toaa230,"Oviposition, feeding preferences and distribution of Delia species (Diptera: Anthomyiidae) in Eastern Canadian onions",10.3390/insects11110780,Management of Delia (Diptera: Anthomyiidae) through selectively timed planting of Phaseolus vulgaris (Fabaceae) in Atlantic Canada,10.4039/tce.2018.36,Spring emergence and seasonal flight of Delia radicum L. (Diptera: Anthomyiidae) in western Oregon,10.1603/0046-225X-35.2.465,"Seasonal flight, optimal timing and efficacy of selected insecticides for cabbage maggot (Delia radicum L., Diptera: Anthomyiidae) control",10.3390/insects3041001,,,,,,,,,,
Anthomyiidae,,Zaphne,Zaphne brunneifrons,Terrestrial,Nectivore,Phytophagous,Family,7,Assessing the relationship between pest density and plant damage: a case study with the belowground herbivore Delia radicum (Diptera: Anthomyiidae) on broccoli,10.1007/s13355-019-00607-3,"Population variability of three Delia species (Diptera: Anthomyiidae) from the same agricultural habitat in Quebec, Canada",10.4039/tce.2017.52,A HRM assay for rapid identification of members of the seedcorn maggot complex (Delia florilega and D. platura) (Diptera: Anthomyiidae) and evidence of variation in temporal patterns of larval occurrence,10.1093/jee/toaa230,"Oviposition, feeding preferences and distribution of Delia species (Diptera: Anthomyiidae) in Eastern Canadian onions",10.3390/insects11110780,Management of Delia (Diptera: Anthomyiidae) through selectively timed planting of Phaseolus vulgaris (Fabaceae) in Atlantic Canada,10.4039/tce.2018.36,Spring emergence and seasonal flight of Delia radicum L. (Diptera: Anthomyiidae) in western Oregon,10.1603/0046-225X-35.2.465,"Seasonal flight, optimal timing and efficacy of selected insecticides for cabbage maggot (Delia radicum L., Diptera: Anthomyiidae) control",10.3390/insects3041001,,,,,,,,,,
